data,log,l2,pca,hour,split,target,binary,imbalance,trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
alpha,TRUE,Include Intensity,FALSE,TRUE,parwise,location,TRUE,None,24,0.7172053436759318,-1.8036934337567632,-4.73544981534617,0.36081477052041894,0,1,256,247,212,67,1
alpha,TRUE,Include Intensity,FALSE,TRUE,parwise,location,TRUE,smote_tomek,28,0.6348093083387201,-2.426705067089205,-4.371875838115773,0.7,2,3,13,0,75,250,0
alpha,TRUE,Include Intensity,FALSE,TRUE,stratified,light_type,TRUE,None,43,0.8890986542743731,-1.1720729080810697,-5,0.43401169298289904,1,0,66,48,173,89,1
alpha,TRUE,Include Intensity,FALSE,TRUE,stratified,light_type,TRUE,smote_tomek,34,0.8785596724893848,-2.5900399292396488,-3.0839332288324837,0,0,2,246,0,235,0,1
alpha,TRUE,Include Intensity,FALSE,TRUE,stratified,location,TRUE,None,27,0.66977304964539,-0.511332420362546,-3.45283149166782,0.5706056730902238,1,1,57,46,0,0,1
alpha,TRUE,Include Intensity,FALSE,TRUE,stratified,location,TRUE,smote_tomek,46,0.656340425531915,-1.9425992308600104,-3.1395821358463065,0.7,0,0,88,249,0,133,0
alpha,TRUE,Include Intensity,FALSE,FALSE,parwise,light_type,TRUE,None,17,0.8851321516432221,-1.674522262346259,-5,0.23810420153331932,4,2,256,24,24,32,1
alpha,TRUE,Include Intensity,FALSE,FALSE,parwise,light_type,TRUE,smote_tomek,50,0.8876973864042559,-1.8590834985050004,-4.471173245879102,0,0,0,92,0,0,256,1
alpha,TRUE,Include Intensity,FALSE,FALSE,parwise,location,TRUE,None,42,0.6808877397112691,-1.8727650440998724,-4.909225868560133,0.16409403250664978,2,0,233,57,0,256,1
alpha,TRUE,Include Intensity,FALSE,FALSE,parwise,location,TRUE,smote_tomek,46,0.6616892911010558,-3.3494809630669877,-5,0,1,1,233,256,256,70,1
alpha,TRUE,Include Intensity,FALSE,FALSE,stratified,light_type,TRUE,None,43,0.8211554154046167,-2.951269811480401,-2.140600467205918,0.23585719392523055,2,0,37,45,110,55,1
alpha,TRUE,Include Intensity,FALSE,FALSE,stratified,light_type,TRUE,smote_tomek,45,0.8179328658561885,-1.3437793061468293,-3.894048205938245,0.7,4,0,8,0,0,0,1
alpha,TRUE,Include Intensity,FALSE,FALSE,stratified,location,TRUE,None,21,0.6117163120567376,-0.3,-5,0.2677222138424977,3,1,135,70,256,234,1
alpha,TRUE,Include Intensity,FALSE,FALSE,stratified,location,TRUE,smote_tomek,21,0.62436879432624115,-4,-5,0,4,0,60,198,0,256,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,parwise,light_type,TRUE,None,22,0.9380033221892808,-3.0699221954143763,-1.7262152599408007,0.5151342858048168,0,1,256,41,175,199,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,parwise,light_type,TRUE,smote_tomek,3,0.8993460754010807,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,parwise,location,TRUE,None,41,0.6840443869855635,-2.7085456645626973,-4.437484504751759,0.13212801064930552,4,2,256,1,147,122,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,parwise,location,TRUE,smote_tomek,8,0.6039215686274509,-0.3,-3.862751819320251,0.17597632435778965,3,1,18,140,24,215,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,stratified,light_type,TRUE,None,50,0.8900391408378628,-1.7693512600266614,-5,0.07582852430652415,4,0,143,0,256,215,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,stratified,light_type,TRUE,smote_tomek,42,0.8779926144143397,-3.3103270194331547,-3.4738286843781863,0.4747207588798856,4,2,33,182,0,250,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,stratified,location,TRUE,None,25,0.6599432624113476,-2.818037579962602,-4.64245516271632,0.07543634798950276,2,2,233,5,79,0,1
alpha,TRUE,Exclude Intensity,FALSE,TRUE,stratified,location,TRUE,smote_tomek,29,0.6466666666666667,-3.052663164010279,-2.766719988293754,0.5438925261842503,0,2,10,256,37,256,0
alpha,TRUE,Exclude Intensity,FALSE,FALSE,parwise,light_type,TRUE,None,32,0.8832502786013162,-4,-1.8855146485494785,0,1,0,8,218,0,107,1
alpha,TRUE,Exclude Intensity,FALSE,FALSE,parwise,light_type,TRUE,smote_tomek,29,0.8804958052103702,-4,-3.960657602377218,0,4,0,256,256,256,0,1
alpha,TRUE,Exclude Intensity,FALSE,FALSE,parwise,location,TRUE,None,48,0.6256410256410256,-1.9153750012240136,-4.616188338739844,0.14981620814971763,2,3,151,248,89,84,1
alpha,TRUE,Exclude Intensity,FALSE,FALSE,parwise,location,TRUE,smote_tomek,46,0.6494074552898083,-2.799158759246932,-4.063309331555093,0,3,1,248,243,91,100,1
alpha,TRUE,Exclude Intensity,FALSE,FALSE,stratified,light_type,TRUE,None,40,0.8162178609462956,-3.3988608683116213,-1,1.5047283516305e-4,1,0,255,228,187,104,1
alpha,TRUE,Exclude Intensity,FALSE,FALSE,stratified,light_type,TRUE,smote_tomek,17,0.8206021880143285,-4,-4.924030856607183,0,3,2,256,256,137,0,1
alpha,TRUE,Exclude Intensity,FALSE,FALSE,stratified,location,TRUE,None,21,0.6116879432624114,-1.8113423422032289,-3.173212665139006,0,1,1,46,72,1,0,1
alpha,TRUE,Exclude Intensity,FALSE,FALSE,stratified,location,TRUE,smote_tomek,9,0.613758865248227,-1.1102581279064117,-4.4632452117109995,0.43127195211692376,3,1,195,50,133,200,1
alpha,TRUE,Exclude Intensity,TRUE,TRUE,parwise,light_type,TRUE,None,14,0.9329990117538216,-3.8053905455571457,-5,0.46055100181441266,4,3,159,218,164,256,1
alpha,TRUE,Exclude Intensity,TRUE,TRUE,parwise,light_type,TRUE,smote_tomek,19,0.8965337790954394,-0.3,-1,0.6041670544418436,0,0,161,246,0,256,1
alpha,TRUE,Exclude Intensity,TRUE,TRUE,parwise,location,TRUE,None,23,0.7051174315880198,-2.4408921319550174,-3.968664740163165,0.2507094918769092,4,0,238,0,142,127,0
alpha,TRUE,Exclude Intensity,TRUE,TRUE,parwise,location,TRUE,smote_tomek,21,0.6154492566257272,-2.03261100536297,-5,0.3282493965820925,3,2,215,23,79,43,1
alpha,TRUE,Exclude Intensity,TRUE,TRUE,stratified,light_type,TRUE,None,25,0.8901359556311633,-1.4746100508108655,-3.8122874818167016,0.39105651037334777,4,3,154,214,245,57,1
alpha,TRUE,Exclude Intensity,TRUE,TRUE,stratified,light_type,TRUE,smote_tomek,40,0.8778681382515249,-3.057411233068218,-1,0.09883281650632912,4,0,51,137,0,0,1
alpha,TRUE,Exclude Intensity,TRUE,TRUE,stratified,location,TRUE,None,29,0.6827517730496455,-2.0990211151183664,-4.904689726598905,0,1,2,103,0,0,76,1
alpha,TRUE,Exclude Intensity,TRUE,TRUE,stratified,location,TRUE,smote_tomek,30,0.6536312056737589,-1.885630683897558,-2.6899988547896228,0.3602224904842715,0,2,48,23,207,210,0
alpha,TRUE,Exclude Intensity,TRUE,FALSE,parwise,light_type,TRUE,None,6,0.8782039151369878,-2.626935986624618,-4.145087069712022,0.11109522326841058,4,2,209,0,9,67,0
alpha,TRUE,Exclude Intensity,TRUE,FALSE,parwise,light_type,TRUE,smote_tomek,48,0.8772366954729914,-0.643126741617599,-2.7423296270233206,0,4,3,249,47,172,32,0
alpha,TRUE,Exclude Intensity,TRUE,FALSE,parwise,location,TRUE,None,45,0.6504201680672269,-2.710116120342067,-4.426085850916356,0.4193899012651004,1,2,239,179,24,85,0
alpha,TRUE,Exclude Intensity,TRUE,FALSE,parwise,location,TRUE,smote_tomek,33,0.6459383753501401,-1.64319315277079,-2.9964835921496684,0,3,0,187,144,168,0,1
alpha,TRUE,Exclude Intensity,TRUE,FALSE,stratified,light_type,TRUE,None,21,0.8122899464752499,-2.7385006924991924,-4.554712611072937,0,4,3,256,0,0,60,1
alpha,TRUE,Exclude Intensity,TRUE,FALSE,stratified,light_type,TRUE,smote_tomek,42,0.8167226809399334,-1.969007069609656,-3.690657195071888,0.34506130925521317,1,3,72,156,123,17,1
alpha,TRUE,Exclude Intensity,TRUE,FALSE,stratified,location,TRUE,None,35,0.6243971631205674,-3.411626841504652,-5,0,4,2,256,256,71,256,0
alpha,TRUE,Exclude Intensity,TRUE,FALSE,stratified,location,TRUE,smote_tomek,4,0.6164680851063831,-1.4828621072252144,-3.1980029921218276,0.00928547281190657,4,2,104,4,59,62,1
alpha,TRUE,Include Intensity,TRUE,TRUE,parwise,light_type,TRUE,None,1,0.9339241783889484,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
alpha,TRUE,Include Intensity,TRUE,TRUE,parwise,light_type,TRUE,smote_tomek,24,0.915399819171976,-0.3,-4.004955809596417,0,0,3,256,108,256,256,1
alpha,TRUE,Include Intensity,TRUE,TRUE,parwise,location,TRUE,None,11,0.7307153630683042,-1.192978803036345,-3.519024615082614,0.3289153781221357,4,1,256,227,182,0,1
alpha,TRUE,Include Intensity,TRUE,TRUE,parwise,location,TRUE,smote_tomek,36,0.6648890325360914,-1.46565954537307,-5,0.45160532334002856,4,1,130,0,238,208,1
alpha,TRUE,Include Intensity,TRUE,TRUE,stratified,light_type,TRUE,None,1,0.8943128224278383,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
alpha,TRUE,Include Intensity,TRUE,TRUE,stratified,light_type,TRUE,smote_tomek,38,0.8829301688726608,-1.6528642146492394,-1,0,0,1,80,256,243,1,1
